original_url,id_a,idioma_a,id_b,idioma_b,similitud
https://hitdarderut-haaretz.org/actualia48,es/alternative-commentary48,es,pt/alternative-commentary48,pt,0.9825583696365356
https://hitdarderut-haaretz.org/actualia49,en/alternative-commentary49,en,es/alternative-commentary49,es,0.8249034881591797
https://hitdarderut-haaretz.org/actualia49,en/alternative-commentary49,en,pt/alternative-commentary49,pt,0.8106255531311035
https://hitdarderut-haaretz.org/actualia49,es/alternative-commentary49,es,pt/alternative-commentary49,pt,0.9485214352607727
https://hitdarderut-haaretz.org/actualia51,en/alternative-commentary51,en,es/alternative-commentary51,es,0.9242852926254272
https://hitdarderut-haaretz.org/actualia51,en/alternative-commentary51,en,pt/alternative-commentary51,pt,0.9330649971961975
https://hitdarderut-haaretz.org/actualia51,es/alternative-commentary51,es,pt/alternative-commentary51,pt,0.9842285513877869
https://hitdarderut-haaretz.org/actualia53,en/alternative-commentary53,en,es/alternative-commentary53,es,0.8762737512588501
https://hitdarderut-haaretz.org/actualia53,en/alternative-commentary53,en,pt/alternative-commentary53,pt,0.8715972900390625
https://hitdarderut-haaretz.org/actualia53,es/alternative-commentary53,es,pt/alternative-commentary53,pt,0.9360039234161377
https://hitdarderut-haaretz.org/actualia54,en/alternative-commentary54,en,es/alternative-commentary54,es,0.8645013570785522
https://hitdarderut-haaretz.org/actualia54,en/alternative-commentary54,en,pt/alternative-commentary54,pt,0.6655230522155762
https://hitdarderut-haaretz.org/actualia54,es/alternative-commentary54,es,pt/alternative-commentary54,pt,0.7804734110832214
https://hitdarderut-haaretz.org/actualia55,en/alternative-commentary55,en,es/alternative-commentary55,es,0.8727452158927917
https://hitdarderut-haaretz.org/actualia55,en/alternative-commentary55,en,pt/alternative-commentary55,pt,0.8829448819160461
https://hitdarderut-haaretz.org/actualia55,es/alternative-commentary55,es,pt/alternative-commentary55,pt,0.9844264984130859
https://hitdarderut-haaretz.org/actualia56,en/alternative-commentary56,en,es/alternative-commentary56,es,0.9227334260940552
https://hitdarderut-haaretz.org/actualia56,en/alternative-commentary56,en,pt/alternative-commentary56,pt,0.9420930743217468
https://hitdarderut-haaretz.org/actualia56,es/alternative-commentary56,es,pt/alternative-commentary56,pt,0.9809722900390625
https://hitdarderut-haaretz.org/actualia57,en/alternative-commentary57,en,es/alternative-commentary57,es,0.9509618878364563
https://hitdarderut-haaretz.org/actualia57,en/alternative-commentary57,en,pt/alternative-commentary57,pt,0.941142201423645
https://hitdarderut-haaretz.org/actualia57,es/alternative-commentary57,es,pt/alternative-commentary57,pt,0.9748647212982178
https://hitdarderut-haaretz.org/actualia58,en/alternative-commentary58,en,es/alternative-commentary58,es,0.9557998180389404
https://hitdarderut-haaretz.org/actualia58,en/alternative-commentary58,en,pt/alternative-commentary58,pt,0.9336345195770264
https://hitdarderut-haaretz.org/actualia58,es/alternative-commentary58,es,pt/alternative-commentary58,pt,0.9757137894630432
https://hitdarderut-haaretz.org/actualia6,en/alternative-commentary6,en,es/alternative-commentary6,es,0.9441708326339722
https://hitdarderut-haaretz.org/actualia6,en/alternative-commentary6,en,pt/alternative-commentary6,pt,0.9271607398986816
https://hitdarderut-haaretz.org/actualia6,es/alternative-commentary6,es,pt/alternative-commentary6,pt,0.9627249240875244
https://hitdarderut-haaretz.org/actualia60,en/alternative-commentary60,en,es/alternative-commentary60,es,0.9099854230880737
https://hitdarderut-haaretz.org/actualia60,en/alternative-commentary60,en,pt/alternative-commentary60,pt,0.8799940943717957
https://hitdarderut-haaretz.org/actualia60,es/alternative-commentary60,es,pt/alternative-commentary60,pt,0.9455232620239258
https://hitdarderut-haaretz.org/actualia61,en/alternative-commentary61,en,es/alternative-commentary61,es,0.9283906817436218
https://hitdarderut-haaretz.org/actualia61,en/alternative-commentary61,en,pt/alternative-commentary61,pt,0.8691482543945312
